GRAPH_ID,OUTLET_ID,RAIN_START,RAIN_END,HYDRO_START,PEAK_TIME,HYDRO_END,SAMPLE_START,SAMPLE_END,EVENT_TYPE,EVENT_GRADE,COMPOUND_EVENT,PEAK_COUNT,SOURCE_RAIN_EVENT_IDS,SOURCE_RAIN_EVENT_COUNT,BASIN_ID,SOURCE_HYDRO_END,TIME_CONTRACT_STATUS,TIME_CONTRACT_ACTION,TIME_CONTRACT_REASON,EVENT_ID,SOURCE_EVENT_IDS,SOURCE_EVENT_COUNT,EVENT_MERGE_STATUS,SPLIT,SPLIT_REASON,EVENT_YEAR
B025,613E2580,2021-04-23 23:00:00,2021-04-24 18:00:00,2021-04-24 05:00:00,2021-04-24 13:00:00,2021-04-25 19:00:00,2021-04-21 23:00:00,2021-04-26 18:00:00,HYDRO_FLOOD,A,False,1,B025_R00002,1,B025,2021-04-25 19:00:00,UNCHANGED,NONE,,B025_F0002,B025_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B032,614E1550,2021-04-23 18:00:00,2021-04-25 09:00:00,2021-04-24 04:00:00,2021-04-24 16:00:00,2021-04-25 14:00:00,2021-04-21 18:00:00,2021-04-27 09:00:00,HYDRO_FLOOD,A,False,1,B032_R00003,1,B032,2021-04-25 14:00:00,UNCHANGED,NONE,,B032_F0001,B032_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B031,61402050,2021-04-23 17:00:00,2021-04-25 09:00:00,2021-04-24 04:00:00,2021-04-24 17:00:00,2021-04-26 01:00:00,2021-04-21 17:00:00,2021-04-27 09:00:00,HYDRO_FLOOD,A,False,1,B031_R00005,1,B031,2021-04-26 01:00:00,UNCHANGED,NONE,,B031_F0001,B031_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B034,61711890,2021-04-24 07:00:00,2021-04-25 10:00:00,2021-04-24 12:00:00,2021-04-24 21:00:00,2021-04-25 23:00:00,2021-04-22 07:00:00,2021-04-27 10:00:00,HYDRO_FLOOD,A,False,1,B034_R00002,1,B034,2021-04-25 23:00:00,UNCHANGED,NONE,,B034_F0002,B034_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B006,61116100,2021-04-24 04:00:00,2021-04-26 10:00:00,2021-04-24 09:00:00,2021-04-25 00:00:00,2021-04-25 16:00:00,2021-04-22 04:00:00,2021-04-28 10:00:00,HYDRO_FLOOD,A,False,1,B006_R00004,1,B006,2021-04-25 16:00:00,UNCHANGED,NONE,,B006_F0002,B006_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B013,611E2820,2021-04-24 01:00:00,2021-04-25 10:00:00,2021-04-24 03:00:00,2021-04-25 02:00:00,2021-04-26 19:00:00,2021-04-22 01:00:00,2021-04-27 10:00:00,HYDRO_FLOOD,A,False,1,B013_R00004,1,B013,2021-04-26 19:00:00,UNCHANGED,NONE,,B013_F0001,B013_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B018,611H2032,2021-04-24 04:00:00,2021-04-25 09:00:00,2021-04-24 07:00:00,2021-04-25 03:00:00,2021-04-26 19:00:00,2021-04-22 04:00:00,2021-04-27 09:00:00,HYDRO_FLOOD,A,False,1,B018_R00004,1,B018,2021-04-26 19:00:00,UNCHANGED,NONE,,B018_F0001,B018_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B005,61113300,2021-04-25 17:00:00,2021-04-27 16:00:00,2021-04-26 07:00:00,2021-04-26 12:00:00,2021-04-28 10:00:00,2021-04-23 17:00:00,2021-04-29 16:00:00,HYDRO_FLOOD,A,False,1,B005_R00005,1,B005,2021-04-28 10:00:00,UNCHANGED,NONE,,B005_F0001,B005_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B018,611H2032,2021-04-26 20:00:00,2021-04-27 02:00:00,2021-04-26 23:00:00,2021-04-27 05:00:00,2021-04-27 13:00:00,2021-04-24 20:00:00,2021-04-29 02:00:00,HYDRO_FLOOD,A,False,1,B018_R00005,1,B018,2021-04-27 13:00:00,UNCHANGED,NONE,,B018_F0002,B018_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B020,612E1940,2021-05-03 12:00:00,2021-05-03 21:00:00,2021-05-03 20:00:00,2021-05-03 23:00:00,2021-05-04 11:00:00,2021-05-01 12:00:00,2021-05-05 21:00:00,HYDRO_FLOOD,A,False,1,B020_R00003,1,B020,2021-05-04 11:00:00,UNCHANGED,NONE,,B020_F0001,B020_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B034,61711890,2021-05-03 12:00:00,2021-05-04 13:00:00,2021-05-03 19:00:00,2021-05-04 01:00:00,2021-05-04 14:00:00,2021-05-01 12:00:00,2021-05-06 13:00:00,HYDRO_FLOOD,A,False,1,B034_R00003,1,B034,2021-05-04 14:00:00,UNCHANGED,NONE,,B034_F0003,B034_F0003,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B022,612E2800,2021-05-03 14:00:00,2021-05-04 08:00:00,2021-05-03 16:00:00,2021-05-04 02:00:00,2021-05-05 15:00:00,2021-05-01 14:00:00,2021-05-06 08:00:00,HYDRO_FLOOD,A,False,1,B022_R00005,1,B022,2021-05-05 15:00:00,UNCHANGED,NONE,,B022_F0002,B022_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B006,61116100,2021-05-03 13:00:00,2021-05-04 11:00:00,2021-05-03 18:00:00,2021-05-04 03:00:00,2021-05-05 10:00:00,2021-05-01 13:00:00,2021-05-06 11:00:00,HYDRO_FLOOD,A,False,1,B006_R00005,1,B006,2021-05-05 10:00:00,UNCHANGED,NONE,,B006_F0003,B006_F0003,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B010,611E2360,2021-05-03 22:00:00,2021-05-04 08:00:00,2021-05-04 03:00:00,2021-05-04 05:00:00,2021-05-05 15:00:00,2021-05-01 22:00:00,2021-05-06 08:00:00,HYDRO_FLOOD,A,False,1,B010_R00004,1,B010,2021-05-05 15:00:00,UNCHANGED,NONE,,B010_F0001,B010_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B003,61109600,2021-05-03 03:00:00,2021-05-04 19:00:00,2021-05-04 06:00:00,2021-05-04 07:00:00,2021-05-06 00:00:00,2021-05-01 03:00:00,2021-05-06 19:00:00,HYDRO_FLOOD,A,False,1,B003_R00003,1,B003,2021-05-06 00:00:00,UNCHANGED,NONE,,B003_F0001,B003_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B019,612E1060,2021-05-03 07:00:00,2021-05-04 08:00:00,2021-05-03 21:00:00,2021-05-04 07:00:00,2021-05-05 12:00:00,2021-05-01 07:00:00,2021-05-06 08:00:00,HYDRO_FLOOD,A,False,1,B019_R00004,1,B019,2021-05-05 12:00:00,UNCHANGED,NONE,,B019_F0002,B019_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B021,612E2390,2021-05-04 06:00:00,2021-05-04 08:00:00,2021-05-04 08:00:00,2021-05-04 08:00:00,,2021-05-02 06:00:00,2021-05-06 08:00:00,HYDRO_FLOOD,B,False,1,B021_R00007,1,B021,,UNCHANGED,NONE,,B021_F0002,B021_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B031,61402050,2021-05-06 00:00:00,2021-05-06 23:00:00,2021-05-06 09:00:00,2021-05-06 12:00:00,2021-05-07 21:00:00,2021-05-04 00:00:00,2021-05-08 23:00:00,HYDRO_FLOOD,A,False,1,B031_R00008,1,B031,2021-05-07 21:00:00,UNCHANGED,NONE,,B031_F0002,B031_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B019,612E1060,2021-05-07 07:00:00,2021-05-08 08:00:00,2021-05-07 13:00:00,2021-05-07 23:00:00,,2021-05-05 07:00:00,2021-05-10 08:00:00,HYDRO_FLOOD,B,False,1,B019_R00005,1,B019,,UNCHANGED,NONE,,B019_F0003,B019_F0003,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
