GRAPH_ID,TIMESTAMP,NODE_INDEX,STATION_ID,RAIN_MM,FLOW,WATER_LEVEL,RAIN_MASK,FLOW_MASK,WATER_LEVEL_MASK
B035,2022-04-24 04:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-24 05:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-24 06:00:00,0,810G0060,0.1736414599,,260.32,1,0,1
B035,2022-04-24 07:00:00,0,810G0060,0.9707221773,,,1,0,0
B035,2022-04-24 08:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 09:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 10:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 11:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 12:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 13:00:00,0,810G0060,0.6137310383,,260.31,1,0,1
B035,2022-04-24 14:00:00,0,810G0060,0.1845624841,,260.31,1,0,1
B035,2022-04-24 15:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-24 16:00:00,0,810G0060,0.0009657812988,,260.31,1,0,1
B035,2022-04-24 17:00:00,0,810G0060,0.1142313387,,260.31,1,0,1
B035,2022-04-24 18:00:00,0,810G0060,0.04205583543,,260.31,1,0,1
B035,2022-04-24 19:00:00,0,810G0060,0.1968823965,,260.31,1,0,1
B035,2022-04-24 20:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-24 21:00:00,0,810G0060,0.02855831006,,260.32,1,0,1
B035,2022-04-24 22:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-24 23:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 00:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 01:00:00,0,810G0060,0.03351551719,,260.32,1,0,1
B035,2022-04-25 02:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 03:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 04:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 05:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 06:00:00,0,810G0060,0,,260.32,1,0,1
B035,2022-04-25 07:00:00,0,810G0060,1.152582671,,,1,0,0
B035,2022-04-25 08:00:00,0,810G0060,1.334248139,,260.32,1,0,1
B035,2022-04-25 09:00:00,0,810G0060,0.8454537019,,260.33,1,0,1
B035,2022-04-25 10:00:00,0,810G0060,0.1440822804,,260.33,1,0,1
B035,2022-04-25 11:00:00,0,810G0060,0.01381945247,,260.33,1,0,1
B035,2022-04-25 12:00:00,0,810G0060,0.003863125195,,260.33,1,0,1
B035,2022-04-25 13:00:00,0,810G0060,0.0006438541992,,260.34,1,0,1
B035,2022-04-25 14:00:00,0,810G0060,1.466058966,,260.34,1,0,1
B035,2022-04-25 15:00:00,0,810G0060,0.7453036869,,260.36,1,0,1
B035,2022-04-25 16:00:00,0,810G0060,0.04615732986,,260.36,1,0,1
B035,2022-04-25 17:00:00,0,810G0060,0.02855831006,,260.37,1,0,1
B035,2022-04-25 18:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-25 19:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-25 20:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-25 21:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-25 22:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-25 23:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-26 00:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-26 01:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-26 02:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-26 03:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-26 04:00:00,0,810G0060,0.1894708694,,260.35,1,0,1
B035,2022-04-26 05:00:00,0,810G0060,0.06259079268,,260.35,1,0,1
B035,2022-04-26 06:00:00,0,810G0060,0,,260.35,1,0,1
B035,2022-04-26 07:00:00,0,810G0060,5.045412063,,,1,0,0
B035,2022-04-26 08:00:00,0,810G0060,0.005257230074,,260.35,1,0,1
B035,2022-04-26 09:00:00,0,810G0060,0.04057817269,,260.35,1,0,1
B035,2022-04-26 10:00:00,0,810G0060,0.3724370028,,260.34,1,0,1
B035,2022-04-26 11:00:00,0,810G0060,1.534994325,,260.34,1,0,1
B035,2022-04-26 12:00:00,0,810G0060,7.504139984,,260.38,1,0,1
B035,2022-04-26 13:00:00,0,810G0060,5.365872584,,260.54,1,0,1
B035,2022-04-26 14:00:00,0,810G0060,2.466155664,,260.82,1,0,1
B035,2022-04-26 15:00:00,0,810G0060,0.06905088618,,260.98,1,0,1
B035,2022-04-26 16:00:00,0,810G0060,0.04154395399,,260.87,1,0,1
B035,2022-04-26 17:00:00,0,810G0060,0,,260.81,1,0,1
B035,2022-04-26 18:00:00,0,810G0060,0,,260.75,1,0,1
B035,2022-04-26 19:00:00,0,810G0060,0.0003219270996,,260.7,1,0,1
B035,2022-04-26 20:00:00,0,810G0060,0,,260.64,1,0,1
B035,2022-04-26 21:00:00,0,810G0060,0,,260.61,1,0,1
B035,2022-04-26 22:00:00,0,810G0060,0,,260.57,1,0,1
B035,2022-04-26 23:00:00,0,810G0060,0,,260.54,1,0,1
B035,2022-04-27 00:00:00,0,810G0060,0,,260.51,1,0,1
B035,2022-04-27 01:00:00,0,810G0060,0,,260.5,1,0,1
B035,2022-04-27 02:00:00,0,810G0060,0,,260.48,1,0,1
B035,2022-04-27 03:00:00,0,810G0060,0,,260.46,1,0,1
B035,2022-04-27 04:00:00,0,810G0060,0,,260.45,1,0,1
B035,2022-04-27 05:00:00,0,810G0060,0,,260.44,1,0,1
B035,2022-04-27 06:00:00,0,810G0060,0,,260.43,1,0,1
B035,2022-04-27 07:00:00,0,810G0060,18.28465652,,,1,0,0
B035,2022-04-27 08:00:00,0,810G0060,0,,260.42,1,0,1
B035,2022-04-27 09:00:00,0,810G0060,0,,260.4,1,0,1
B035,2022-04-27 10:00:00,0,810G0060,0,,260.39,1,0,1
B035,2022-04-27 11:00:00,0,810G0060,0,,260.39,1,0,1
B035,2022-04-27 12:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-27 13:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-27 14:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-27 15:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-27 16:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-27 17:00:00,0,810G0060,0.02699505074,,260.36,1,0,1
B035,2022-04-27 18:00:00,0,810G0060,0.8465377134,,260.36,1,0,1
B035,2022-04-27 19:00:00,0,810G0060,0.007082396191,,260.36,1,0,1
B035,2022-04-27 20:00:00,0,810G0060,0.0584507047,,260.37,1,0,1
B035,2022-04-27 21:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-27 22:00:00,0,810G0060,0.01058630437,,260.38,1,0,1
B035,2022-04-27 23:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-28 00:00:00,0,810G0060,0,,260.38,1,0,1
B035,2022-04-28 01:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-28 02:00:00,0,810G0060,0,,260.37,1,0,1
B035,2022-04-28 03:00:00,0,810G0060,0.04057817269,,260.36,1,0,1
B035,2022-04-28 04:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-28 05:00:00,0,810G0060,0,,260.36,1,0,1
B035,2022-04-28 06:00:00,0,810G0060,0,,260.35,1,0,1
B035,2022-04-28 07:00:00,0,810G0060,1.002289044,,,1,0,0
B035,2022-04-28 08:00:00,0,810G0060,0.02001799182,,260.35,1,0,1
B035,2022-04-28 09:00:00,0,810G0060,0,,260.35,1,0,1
B035,2022-04-28 10:00:00,0,810G0060,0,,260.35,1,0,1
B035,2022-04-28 11:00:00,0,810G0060,0,,260.35,1,0,1
B035,2022-04-28 12:00:00,0,810G0060,0,,260.34,1,0,1
B035,2022-04-28 13:00:00,0,810G0060,0,,260.34,1,0,1
B035,2022-04-28 14:00:00,0,810G0060,0,,260.34,1,0,1
B035,2022-04-28 15:00:00,0,810G0060,0,,260.34,1,0,1
B035,2022-04-28 16:00:00,0,810G0060,0,,260.33,1,0,1
B035,2022-04-28 17:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-28 18:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-28 19:00:00,0,810G0060,0,,260.31,1,0,1
B035,2022-04-28 20:00:00,0,810G0060,0,,260.31,1,0,1
B035,2023-05-23 04:00:00,0,810G0060,0,,260.38,1,0,1
B035,2023-05-23 05:00:00,0,810G0060,0,,260.38,1,0,1
B035,2023-05-23 06:00:00,0,810G0060,0,,260.38,1,0,1
