GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,REACH_LENGTH_M
Q_612E1950,Q_612E1950_E0001,Q_612E1950_N0005,Q_612E1950_N0006,4,5,1767.175848
Q_612E1950,Q_612E1950_E0002,Q_612E1950_N0001,Q_612E1950_N0005,0,4,2725.445641
Q_612E1950,Q_612E1950_E0003,Q_612E1950_N0004,Q_612E1950_N0005,3,4,9873.476935
Q_612E1950,Q_612E1950_E0004,Q_612E1950_N0002,Q_612E1950_N0004,1,3,834.4333774
Q_612E1950,Q_612E1950_E0005,Q_612E1950_N0003,Q_612E1950_N0004,2,3,5629.183189
Q_612E2390,Q_612E2390_E0001,Q_612E2390_N0001,Q_612E2390_N0003,0,2,8490.030241
Q_612E2390,Q_612E2390_E0002,Q_612E2390_N0002,Q_612E2390_N0003,1,2,5420.941235
Q_612E2390,Q_612E2390_E0003,Q_612E2390_N0003,Q_612E2390_N0007,2,6,1641.793854
Q_612E2390,Q_612E2390_E0004,Q_612E2390_N0007,Q_612E2390_N0008,6,7,5167.981362
Q_612E2390,Q_612E2390_E0005,Q_612E2390_N0006,Q_612E2390_N0007,5,6,6750.380977
Q_612E2390,Q_612E2390_E0006,Q_612E2390_N0004,Q_612E2390_N0006,3,5,389.760121
Q_612E2390,Q_612E2390_E0007,Q_612E2390_N0005,Q_612E2390_N0006,4,5,2879.896558
Q_612E2460,Q_612E2460_E0001,Q_612E2460_N0001,Q_612E2460_N0005,0,4,12175.78618
Q_612E2460,Q_612E2460_E0002,Q_612E2460_N0002,Q_612E2460_N0004,1,3,8801.386849
Q_612E2460,Q_612E2460_E0003,Q_612E2460_N0003,Q_612E2460_N0004,2,3,583.7860031
Q_612E2460,Q_612E2460_E0004,Q_612E2460_N0004,Q_612E2460_N0005,3,4,1652.800107
Q_612E2460,Q_612E2460_E0005,Q_612E2460_N0005,Q_612E2460_N0007,4,6,2252.131912
Q_612E2460,Q_612E2460_E0006,Q_612E2460_N0006,Q_612E2460_N0007,5,6,1597.715948
Q_612E2460,Q_612E2460_E0007,Q_612E2460_N0007,Q_612E2460_N0008,6,7,3384.433172
