GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC
B029,B029,1,613H1300,613H1300,outlet,1,ACCEPT
B030,B030,0,613H1902,613H9508,upstream,0,ACCEPT
B030,B030,1,613E1060,613H9508,upstream,0,ACCEPT
B030,B030,2,613H9504,613H9508,upstream,0,ACCEPT
B030,B030,3,613H9508,613H9508,outlet,1,ACCEPT
B031,B031,0,614E1950,61402050,upstream,0,ACCEPT
B031,B031,1,614G2040,61402050,upstream,0,ACCEPT
B031,B031,2,61402050,61402050,outlet,1,ACCEPT
B032,B032,0,614H0033,614E1550,upstream,0,ACCEPT
B032,B032,1,614E1550,614E1550,outlet,1,ACCEPT
B033,B033,0,61510100,61510100,outlet,1,ACCEPT
B034,B034,0,617E2950,61711890,upstream,0,ACCEPT
B034,B034,1,61711890,61711890,outlet,1,ACCEPT
B035,B035,0,810G0060,810G0060,outlet,1,ACCEPT
