GRAPH_ID,TIMESTAMP,NODE_INDEX,STATION_ID,RAIN_MM,FLOW,WATER_LEVEL,RAIN_MASK,FLOW_MASK,WATER_LEVEL_MASK
B029,2021-06-26 14:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 14:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-26 15:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 15:00:00,1,613H1300,0.0008150384711,,259.53,1,0,1
B029,2021-06-26 16:00:00,0,613E0590,0.03746922504,,285.03,1,0,1
B029,2021-06-26 16:00:00,1,613H1300,0.03815479792,,259.52,1,0,1
B029,2021-06-26 17:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 17:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-26 18:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-26 18:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-26 19:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-26 19:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-26 20:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-26 20:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-26 21:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 21:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-26 22:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 22:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-26 23:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-26 23:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 00:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-27 00:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-27 01:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 01:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 02:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 02:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 03:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 03:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-27 04:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 04:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 05:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 05:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-27 06:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 06:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 07:00:00,0,613E0590,0.03746922504,,285.02,1,0,1
B029,2021-06-27 07:00:00,1,613H1300,0.03896983639,,259.53,1,0,1
B029,2021-06-27 08:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 08:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 09:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 09:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 10:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 10:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 11:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 11:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 12:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 12:00:00,1,613H1300,0,,259.51,1,0,1
B029,2021-06-27 13:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 13:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 14:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 14:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 15:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 15:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 16:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 16:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 17:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 17:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 18:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 18:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 19:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 19:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-27 20:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 20:00:00,1,613H1300,0,,259.51,1,0,1
B029,2021-06-27 21:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 21:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-27 22:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 22:00:00,1,613H1300,0,,259.51,1,0,1
B029,2021-06-27 23:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-27 23:00:00,1,613H1300,0,,259.51,1,0,1
B029,2021-06-28 00:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 00:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 01:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 01:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 02:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 02:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 03:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 03:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 04:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 04:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 05:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 05:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 06:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 06:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 07:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 07:00:00,1,613H1300,0,,259.55,1,0,1
B029,2021-06-28 08:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 08:00:00,1,613H1300,0,,259.55,1,0,1
B029,2021-06-28 09:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 09:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 10:00:00,0,613E0590,0,,285.03,1,0,1
B029,2021-06-28 10:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 11:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 11:00:00,1,613H1300,0,,259.54,1,0,1
B029,2021-06-28 12:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 12:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 13:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 13:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 14:00:00,0,613E0590,0.004688108818,,285.02,1,0,1
B029,2021-06-28 14:00:00,1,613H1300,0,,259.51,1,0,1
B029,2021-06-28 15:00:00,0,613E0590,0.0005860136022,,285.02,1,0,1
B029,2021-06-28 15:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 16:00:00,0,613E0590,0.01113425844,,285.02,1,0,1
B029,2021-06-28 16:00:00,1,613H1300,0,,259.52,1,0,1
B029,2021-06-28 17:00:00,0,613E0590,0.05337854835,,285.02,1,0,1
B029,2021-06-28 17:00:00,1,613H1300,0.1364021564,,259.53,1,0,1
B029,2021-06-28 18:00:00,0,613E0590,0.03795873866,,285.02,1,0,1
B029,2021-06-28 18:00:00,1,613H1300,0.02396030659,,259.53,1,0,1
B029,2021-06-28 19:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 19:00:00,1,613H1300,0.02183653945,,259.53,1,0,1
B029,2021-06-28 20:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 20:00:00,1,613H1300,0,,259.53,1,0,1
B029,2021-06-28 21:00:00,0,613E0590,0,,285.02,1,0,1
B029,2021-06-28 21:00:00,1,613H1300,0.1159191754,,259.53,1,0,1
B029,2021-06-28 22:00:00,0,613E0590,1.295744152,,285.02,1,0,1
B029,2021-06-28 22:00:00,1,613H1300,10.84010648,,259.51,1,0,1
B029,2021-06-28 23:00:00,0,613E0590,2.057166064,,285.04,1,0,1
B029,2021-06-28 23:00:00,1,613H1300,2.957833242,,259.5,1,0,1
B029,2021-06-29 00:00:00,0,613E0590,0.8611910993,,285.04,1,0,1
B029,2021-06-29 00:00:00,1,613H1300,1.478119831,,259.52,1,0,1
B029,2021-06-29 01:00:00,0,613E0590,0.3041124961,,285.05,1,0,1
B029,2021-06-29 01:00:00,1,613H1300,0.2653609461,,259.49,1,0,1
B029,2021-06-29 02:00:00,0,613E0590,0.01818543687,,285.08,1,0,1
B029,2021-06-29 02:00:00,1,613H1300,0.1065667259,,259.65,1,0,1
B029,2021-06-29 03:00:00,0,613E0590,0,,285.16,1,0,1
B029,2021-06-29 03:00:00,1,613H1300,0.04498180757,,259.75,1,0,1
B029,2021-06-29 04:00:00,0,613E0590,0,,285.25,1,0,1
B029,2021-06-29 04:00:00,1,613H1300,0.0002037596178,,259.75,1,0,1
B029,2021-06-29 05:00:00,0,613E0590,0.01248974168,,285.25,1,0,1
B029,2021-06-29 05:00:00,1,613H1300,0.03333224772,,259.83,1,0,1
B029,2021-06-29 06:00:00,0,613E0590,0,,285.23,1,0,1
B029,2021-06-29 06:00:00,1,613H1300,0.0002037596178,,259.86,1,0,1
B029,2021-06-29 07:00:00,0,613E0590,19.26506829,,285.21,1,0,1
B029,2021-06-29 07:00:00,1,613H1300,12.32867667,,259.82,1,0,1
B029,2021-06-29 08:00:00,0,613E0590,0.0005860136022,,285.19,1,0,1
B029,2021-06-29 08:00:00,1,613H1300,0,,259.82,1,0,1
B029,2021-06-29 09:00:00,0,613E0590,0,,285.17,1,0,1
B029,2021-06-29 09:00:00,1,613H1300,0,,259.68,1,0,1
B029,2021-06-29 10:00:00,0,613E0590,0,,285.16,1,0,1
B029,2021-06-29 10:00:00,1,613H1300,0.02061398174,,259.65,1,0,1
