GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC,log_incremental_area,log_upstream_area,mean_hillslope_flow_distance_m,mean_slope_deg,elevation_std_m,drainage_density_km_per_km2,soil_log_ksat_0_30cm,soil_profile_depth_cm,forest_fraction,impervious_fraction
B006,B006,3,611H1843,61116100,upstream,0,ACCEPT,1.256835698,1.256274899,1116.702137,20.13608321,53.14793693,0.1883482856,1.007844498,98.66999817,0.375,0.004661168878
B006,B006,4,611H1857,61116100,upstream,0,ACCEPT,1.469897098,1.469290981,1580.969537,22.36396435,43.15488048,0.1466227523,0.9896767338,98.66999817,0.9032258065,0.003496503497
B006,B006,5,611H1844,61116100,upstream,0,ACCEPT,1.514479321,1.513868419,1144.355476,18.59107764,53.36887845,0.2788917725,0.9987605711,98.66999817,0.6060606061,0.0128983308
B006,B006,6,611H1899,61116100,upstream,0,ACCEPT,3.859961242,3.959171066,957.763602,10.43654207,44.8887288,0.573837453,1.147163093,98.82827759,0.07126436782,0.09891131688
B006,B006,7,61116100,61116100,outlet,1,ACCEPT,5.582742202,5.793751619,1092.44602,12.36668093,64.20873784,0.5693399117,1.140728315,100.0421753,0.1804391218,0.06399964654
B007,B007,0,611K0151,611E0470,upstream,0,ACCEPT,3.626838249,3.626203821,875.1756263,28.14451367,157.6064364,0.5391304986,1.558534185,93.20574188,0.9139465875,0.001082118
B007,B007,1,611E0470,611E0470,outlet,1,ACCEPT,4.723583803,5.004401713,942.2335509,24.70897549,185.4909493,0.542560372,1.331505974,95.81570435,0.6373307544,0.01749701526
B008,B008,0,611K0501,611E1460,upstream,0,ACCEPT,4.222496506,4.221857712,833.645072,31.34962685,315.5471534,0.5314602558,1.581361691,88.69944,0.9003215434,1.339423244e-05
B008,B008,1,611H4513,611E1460,upstream,0,ACCEPT,4.155453249,4.874432927,815.143621,27.92412536,296.1250275,0.6252046856,1.470996161,93.24138641,0.5069444444,0.003856354383
B008,B008,2,611E1460,611E1460,outlet,1,ACCEPT,0.7245335978,4.882521445,1444.398525,3.954762332,9.087186831,0.4123699689,1.005597293,101.1900024,0,0.213740458
B009,B009,0,61111950,611E1998,upstream,0,ACCEPT,5.130089668,5.129415283,1031.007698,22.43005636,209.8525418,0.5132461906,1.456981043,92.75919342,0.5137908916,0.01742358102
B009,B009,1,611E1998,611E1998,outlet,1,ACCEPT,3.976771655,5.399190174,1041.247438,10.20954385,24.75472942,0.5628023462,1.526660442,83.24390411,0.01229508197,0.05612297534
B010,B010,0,611H7406,611E2360,upstream,0,ACCEPT,3.660367243,3.659656192,1047.887678,14.37841198,113.0990094,0.4795917388,1.054227074,102.6271439,0.06406685237,0.04980997625
B010,B010,1,611T2300,611E2360,upstream,0,ACCEPT,4.943270493,5.181643297,1000.403346,14.35894683,120.814642,0.5472632074,1.215026359,97.56621552,0.008520526723,0.0298857708
B010,B010,2,611E2360,611E2360,outlet,1,ACCEPT,4.045558261,5.455651212,1058.620703,17.2965082,79.70885396,0.5924387123,1.103609105,98.7230072,0.05323193916,0.0140389115
B011,B011,0,61114260,611E2536,upstream,0,ACCEPT,1.108568029,1.108077629,1418.461994,9.396449652,21.0968975,0,1.072136243,91.34667206,0,0.02559576346
B011,B011,1,611H7405,611E2536,upstream,0,ACCEPT,5.357431099,5.356701141,944.9438619,11.83916357,65.51795955,0.5660342369,1.328909556,98.07735443,0,0.0951427098
B011,B011,2,611E2536,611E2536,outlet,1,ACCEPT,4.585489654,5.739898786,970.2587667,9.422409155,35.69865655,0.5748540668,1.221829275,98.21247101,0.005530973451,0.1384916439
B012,B012,0,611H2656,611E2590,upstream,0,ACCEPT,2.274141756,2.273467974,977.0229411,19.97141542,84.17656813,0.3984220981,0.933720847,101.1900101,0.3536585366,0.04493337465
B012,B012,1,611H2657,611E2590,upstream,0,ACCEPT,2.004690243,2.78080452,1016.841119,15.73111237,69.17227466,0.4447055414,1.191223582,96.7157135,0.1475409836,0.09090909091
B012,B012,2,611E2590,611E2590,outlet,1,ACCEPT,1.014253168,2.884128631,1025.606815,16.64432667,43.35962422,0.6634227814,1.286385636,95.97000122,0,0.000512295082
B013,B013,0,611F2000,611E2820,upstream,0,ACCEPT,5.747324071,5.746576742,981.1312223,20.60379467,167.1941583,0.5810088933,1.123104294,96.04297638,0.5292915531,0.01948693715
B013,B013,1,611F2023,611E2820,upstream,0,ACCEPT,3.786240476,5.875421806,1125.458506,9.938535141,24.8506285,0.4834024532,1.134998461,97.22560883,0,0.08644811025
B013,B013,2,611F2025,611E2820,upstream,0,ACCEPT,4.466620908,6.091699285,988.4468933,9.659676871,25.65528459,0.5673357673,1.153790951,96.86753082,0.002487562189,0.05416143873
B013,B013,3,611E2820,611E2820,outlet,1,ACCEPT,0.4350037965,6.092930074,195.9820006,3.176244051,6.237012787,3.172199375,1.460161308,93.36000061,0,0.4645799012
B014,B014,0,611K2634,611E2920,upstream,0,ACCEPT,1.291154307,1.290610486,1095.900045,18.12517238,72.41196987,0.03194702219,1.544249773,93.83000183,0.04,0.004099760847
B014,B014,1,61116750,611E2920,upstream,0,ACCEPT,1.302536873,1.30198497,1888.585685,16.61463475,48.29052557,0,1.423395932,85.21499634,0,0.02102803738
B014,B014,2,611H2605,611E2920,upstream,0,ACCEPT,1.918404588,1.917763554,1009.813284,16.1942021,83.91317037,0.2858954809,1.536992033,10.77999973,0,0.01039404282
B014,B014,3,611H1952,611E2920,upstream,0,ACCEPT,2.228006193,2.227331924,978.2507236,7.292056517,12.36930628,0.3499362447,1.39741383,89.17182159,0,0.04236827811
B014,B014,4,611K2623,611E2920,upstream,0,ACCEPT,2.311695754,2.311019576,1047.350481,14.81957656,65.96154233,0.3442623386,1.057231983,107.8390884,0,0.01504354711
B014,B014,5,611E2920,611E2920,outlet,1,ACCEPT,5.43027138,5.54719523,957.2244044,9.326969262,52.63851782,0.5486304941,1.331531962,83.78239441,0.002346316283,0.06203405139
B015,B015,0,611E2950,611E2950,outlet,1,ACCEPT,2.21858251,2.217893584,1014.930965,3.483455834,11.17400959,0.6627637636,1.242210507,96.62249756,0,0.1893881138
B016,B016,0,611G3130,611G3160,upstream,0,ACCEPT,1.417279749,1.416799013,1664.500966,14.14311206,99.92895776,0.1015427903,1.50766023,98.13999939,0.1034482759,0.08737024221
B016,B016,1,611H0751,611G3160,upstream,0,ACCEPT,1.982876999,1.982326789,949.4192141,12.02203948,186.2237161,0.850817055,1.538817247,99.04888916,0.2459016393,0.1933486899
B016,B016,2,611G3150,611G3160,upstream,0,ACCEPT,2.39246232,2.391880952,1258.254558,13.30489521,50.26452443,0.4563295461,1.659920812,100.3999939,0,0.2386466437
B016,B016,3,611G3140,611G3160,upstream,0,ACCEPT,5.555241457,5.56662519,1081.239466,15.80358243,190.5336678,0.5628954744,1.535166045,103.3918533,0.2869198312,0.0588091411
B016,B016,4,61108780,611G3160,upstream,0,ACCEPT,4.001033717,5.803217234,1036.763944,11.65833378,135.4512992,0.615572662,1.569169044,98.22750092,0.1428571429,0.1787193374
B016,B016,5,611G3160,611G3160,outlet,1,ACCEPT,3.388959405,5.886050455,1052.545034,16.4457777,65.76587411,0.4942316305,1.675313314,104.0899963,0.1434108527,0.04651601345
B017,B017,0,611H1651,611H1650,upstream,0,ACCEPT,1.199675862,1.199202682,1649.514834,28.39875988,252.8302812,0.05137409541,1.618983726,91.51999664,0.5833333333,0
B017,B017,1,611K1658,611H1650,upstream,0,ACCEPT,2.549916096,2.549293406,967.9704834,18.80231024,107.1533905,0.44469253,1.488842249,85.22285461,0.9174311927,0.001448281119
