EVENT_ID,GRAPH_ID,OUTLET_ID,RAIN_START,RAIN_END,HYDRO_START,PEAK_TIME,HYDRO_END,SAMPLE_START,SAMPLE_END,EVENT_TYPE,EVENT_GRADE,COMPOUND_EVENT,PEAK_COUNT,SOURCE_RAIN_EVENT_IDS,SOURCE_RAIN_EVENT_COUNT,BASIN_ID,EXCLUSION_REASON
B002_F0003,B002,61106450,2021-09-06 12:00:00,2021-09-08 09:00:00,2021-09-06 22:00:00,2021-09-07 00:00:00,2021-09-07 04:00:00,2021-09-04 12:00:00,2021-09-10 09:00:00,HYDRO_FLOOD,C,False,1,B002_R00027,1,B002,EVENT_GRADE
B002_F0019,B002,61106450,2026-02-25 17:00:00,2026-02-27 13:00:00,2026-02-26 16:00:00,2026-02-26 20:00:00,2026-02-28 00:00:00,2026-02-23 17:00:00,2026-03-01 13:00:00,HYDRO_FLOOD,C,False,1,B002_R00235,1,B002,EVENT_GRADE
B003_F0023,B003,61109600,2023-08-24 07:00:00,2023-08-26 08:00:00,2023-08-25 16:00:00,2023-08-26 00:00:00,2023-08-26 10:00:00,2023-08-22 07:00:00,2023-08-28 08:00:00,HYDRO_FLOOD,C,False,1,B003_R00101,1,B003,EVENT_GRADE
B006_F0018,B006,61116100,2023-07-04 12:00:00,2023-07-05 17:00:00,2023-07-05 03:00:00,2023-07-05 06:00:00,2023-07-05 22:00:00,2023-07-02 12:00:00,2023-07-07 17:00:00,HYDRO_FLOOD,C,False,1,B006_R00080,1,B006,EVENT_GRADE
B015_F0012,B015,611E2950,2025-05-14 22:00:00,2025-05-15 08:00:00,2025-05-15 09:00:00,2025-05-15 10:00:00,2025-05-17 03:00:00,2025-05-12 22:00:00,2025-05-17 08:00:00,HYDRO_FLOOD,C,False,1,B015_R00228,1,B015,EVENT_GRADE
B027_F0003,B027,613E2810,2025-04-21 17:00:00,2025-04-22 20:00:00,2025-04-21 21:00:00,2025-04-22 06:00:00,2025-04-23 07:00:00,2025-04-19 17:00:00,2025-04-24 20:00:00,HYDRO_FLOOD,C,False,1,B027_R00039,1,B027,EVENT_GRADE
